"Tag Number","Electronic ID","NLIS","Global ID","PIC","Date of Birth","Sex","Breed","Colour","Sire VID","Sire EID","Dam VID","Dam EID","Donor Dam VID","Donor Dam EID","Group","Overall ADG","Trait Name","Trait Value","Trait ADG","When Trait Recorded","Trait In Session","Trait Scanned In Session","Activity Name","When Activity Measured","Activity In Session","Activity Scanned In Session","Treatment Name","Treatment Dosage","Treatment Batch","Treatment Expiry","Treatment Treated","Treatment Value","When Treatment Measured","Treatment In Session","Treatment Scanned In Session","Note","When Note Measured","Note In Session","Note Scanned In Session","Animal Scanned In Sessions","When Animal Scanned In Session","Event Type","When Event Created","Event In Session","Event Notes","Event Gross Amount","Event Net Amount","Farm","Property","Area","PIC Date Updated","Date of Birth Date Updated","Sex Date Updated","Breed Date Updated","Colour Date Updated","Sire Date Updated","Dam Date Updated","Group Date Updated","Donor Dam Date Updated","Farm Date Updated","Property Date Updated","Area Date Updated","Full RFID","Full RFID Date Updated","GESTACION"
"0247","032 010006500247","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0247","2025/10/09 11:35:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:35:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:35:56","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0248","032 010006500248","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0248","2025/10/09 11:36:51","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:36:51","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:36:48","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0249","032 010006500249","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0249","2025/10/09 11:38:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:38:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:38:11","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1864","032 010006501864","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1864","2025/10/09 11:41:47","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:41:47","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:40:59","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1864","032 010006501864","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Etiq. anter.:0250","2025/10/09 11:41:46","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:41:46","","","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1864","032 010006501864","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0250","2025/10/09 11:41:02","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:41:02","","","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1865","032 010006501865","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1865","2025/10/09 11:42:34","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:42:34","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:42:32","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1866","032 010006501866","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1866","2025/10/09 11:43:22","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:43:22","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:43:19","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1867","032 010006501867","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1867","2025/10/09 11:44:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:44:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:44:11","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1868","032 010006501868","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1868","2025/10/09 11:48:52","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:48:52","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:48:49","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1869","032 010006501869","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1869","2025/10/09 11:50:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:50:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 11:50:34","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
